SPA1 power,SPA1 bg fraction,RC bg intensity,SPA1 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.015811388300841896,0.004,-11440000.0,0.0,152.0,0.9999890748226273,6.48570433511407e-6
0.0002,0.015811388300841896,0.004,-10920000.0,0.0,152.0,0.9999951569747729,2.816896196570948e-7
0.0002,0.015811388300841896,0.004,-10400000.0,0.0,152.0,0.9999912175525761,7.840349489645509e-8
0.0002,0.015811388300841896,0.004,-9879999.999999998,0.0,152.0,0.9999867665053093,8.425412785432016e-6
0.0002,0.015811388300841896,0.004,-9360000.0,0.0,152.0,0.9999722244735463,0.00001804808034952898
0.0002,0.015811388300841896,0.004,-8840000.0,0.0,152.0,0.9999772015469586,0.000010883355798343405
0.0002,0.015811388300841896,0.004,-8320000.0,0.0,152.0,0.9999881832430302,1.367408466362979e-6
0.0002,0.015811388300841896,0.004,-7800000.0,0.0,152.0,0.9999543320491037,0.00002782054998474199
0.0002,0.015811388300841896,0.004,-7279999.999999999,0.0,152.0,0.9998782716938697,0.00008314823556088532
0.0002,0.015811388300841896,0.004,-6760000.0,0.0,152.0,0.9998758613929619,0.00005409759182788396
0.0002,0.015811388300841896,0.004,-6240000.0,0.0,152.0,0.9998221648907142,0.00003973895123665623
0.0002,0.015811388300841896,0.004,-5720000.0,0.0,152.0,0.9965091298318735,0.0018097649719040195
0.0002,0.015811388300841896,0.004,-5199999.999999999,0.0,152.0,0.030451519310398814,0.05908802713236492
0.0002,0.015811388300841896,0.004,-4680000.0,0.0,152.0,0.5325867330727978,0.08798158704342478
0.0002,0.015811388300841896,0.004,-4160000.0,0.0,152.0,0.35506649796810263,0.15935042734515353
0.0002,0.015811388300841896,0.004,-3640000.0000000005,0.0,152.0,0.42739302717241645,0.2026630857697467
0.0002,0.015811388300841896,0.004,-3119999.999999999,0.0,152.0,0.014788008581808504,0.2564637247055594
0.0002,0.015811388300841896,0.004,-2599999.9999999995,0.0,152.0,0.037169531106572694,0.3050254492108646
0.0002,0.015811388300841896,0.004,-2080000.0,0.0,152.0,0.04659703869596527,0.32756339977408994
0.0002,0.015811388300841896,0.004,-1559999.9999999988,0.0,152.0,0.045385677306286794,0.15129027925262592
0.0002,0.015811388300841896,0.004,-1039999.9999999992,0.0,152.0,0.04545111249111286,0.3742728115226961
0.0002,0.015811388300841896,0.004,-519999.9999999996,0.0,152.0,0.0350156695041701,0.39958571299123935
0.0002,0.015811388300841896,0.004,0.0,0.0,152.0,0.054663482554531434,0.23790514251239656
0.0002,0.015811388300841896,0.004,519999.9999999996,0.0,152.0,0.040898934135847116,0.2752473439078714
0.0002,0.015811388300841896,0.004,1040000.0000000009,0.0,152.0,0.04786384187763381,0.27273051268182164
0.0002,0.015811388300841896,0.004,1560000.0000000005,0.0,152.0,0.04479291949079059,0.2821237664766574
0.0002,0.015811388300841896,0.004,2080000.0,0.0,152.0,0.05376323979069723,0.2787825653805513
0.0002,0.015811388300841896,0.004,2600000.0000000014,0.0,152.0,0.04976128548013222,0.28167756829951757
0.0002,0.015811388300841896,0.004,3120000.000000001,0.0,152.0,0.014603254421702357,0.2922344293400833
0.0002,0.015811388300841896,0.004,3640000.0000000005,0.0,152.0,0.16273441545724918,0.247524553215083
0.0002,0.015811388300841896,0.004,4160000.0,0.0,152.0,0.2149547873181843,0.2317282590549004
0.0002,0.015811388300841896,0.004,4680000.0,0.0,152.0,0.03559546195316124,0.284058420460936
0.0002,0.015811388300841896,0.004,5199999.999999999,0.0,152.0,0.0699625409645841,0.274298918310408
0.0002,0.015811388300841896,0.004,5719999.999999999,0.0,152.0,0.14883365965618595,0.25101066518450327
0.0002,0.015811388300841896,0.004,6240000.000000002,0.0,152.0,0.048965204895186375,0.28057938736542565
0.0002,0.015811388300841896,0.004,6760000.000000002,0.0,152.0,0.3778904829874897,0.18308711965354632
0.0002,0.015811388300841896,0.004,7280000.000000001,0.0,152.0,0.9909102793595502,0.0026235780965728392
0.0002,0.015811388300841896,0.004,7800000.000000001,0.0,152.0,0.9999995206328157,2.5855352677907016e-8
0.0002,0.015811388300841896,0.004,8320000.0,0.0,152.0,0.999996074332425,1.981992665010113e-6
0.0002,0.015811388300841896,0.004,8840000.0,0.0,152.0,0.9999985940924699,7.983903380474028e-7
0.0002,0.015811388300841896,0.004,9360000.0,0.0,152.0,0.9999974367160765,9.220030518816368e-7
0.0002,0.015811388300841896,0.004,9880000.000000002,0.0,152.0,0.9999991840649946,2.0521653794974143e-7
0.0002,0.015811388300841896,0.004,10400000.000000002,0.0,152.0,0.9999990638771764,4.113426525101099e-7
0.0002,0.015811388300841896,0.004,10920000.000000002,0.0,152.0,0.999998956816627,7.982502708281631e-8
0.0002,0.015811388300841896,0.004,11440000.000000002,0.0,152.0,0.9999961213859773,9.682546583065363e-7
0.0002,0.015811388300841896,0.004,11960000.0,0.0,152.0,0.9999971488709015,5.040958218691464e-7
0.0002,0.015811388300841896,0.004,12480000.0,0.0,152.0,0.9999960024188334,1.4507068276556344e-6
0.0002,0.015811388300841896,0.004,13000000.0,0.0,152.0,0.9999992569551798,5.036835795727686e-7
0.0002,0.06287167148414675,0.004,-13000000.0,0.0,152.0,0.9999831294546528,4.979865061667845e-6
0.0002,0.06287167148414675,0.004,-12480000.0,0.0,152.0,0.9999821808681338,5.9259559289645875e-6
0.0002,0.06287167148414675,0.004,-11960000.0,0.0,152.0,0.9999795306910962,5.023460523665212e-6
0.0002,0.06287167148414675,0.004,-11440000.0,0.0,152.0,0.9999736707430277,0.000011041637845667082
0.0002,0.06287167148414675,0.004,-10920000.0,0.0,152.0,0.9999672000693904,0.000014036057387249052
0.0002,0.06287167148414675,0.004,-10400000.0,0.0,152.0,0.9999521209956234,0.000016406188205890402
0.0002,0.06287167148414675,0.004,-9879999.999999998,0.0,152.0,0.9999469480019091,0.000010558065074789591
0.0002,0.06287167148414675,0.004,-9360000.0,0.0,152.0,0.999931505188662,0.00002067967675762651
0.0002,0.06287167148414675,0.004,-8840000.0,0.0,152.0,0.9998991781851568,0.00004909647130038145
0.0002,0.06287167148414675,0.004,-8320000.0,0.0,152.0,0.9998899253527203,0.000036456464771337415
0.0002,0.06287167148414675,0.004,-7800000.0,0.0,152.0,0.9998838045408958,0.000018995934116856742
0.0002,0.06287167148414675,0.004,-7279999.999999999,0.0,152.0,0.9996217216939524,0.00021971998272290907
0.0002,0.06287167148414675,0.004,-6760000.0,0.0,152.0,0.9994806094952176,0.00020670494991866954
0.0002,0.06287167148414675,0.004,-6240000.0,0.0,152.0,0.9986884411011087,0.0006400265103763766
0.0002,0.06287167148414675,0.004,-5720000.0,0.0,152.0,0.9890492589436588,0.004519372632568858
0.0002,0.06287167148414675,0.004,-5199999.999999999,0.0,152.0,0.6667665471897216,0.012329242667356636
0.0002,0.06287167148414675,0.004,-4680000.0,0.0,152.0,0.044699959155476,0.22691576001642869
0.0002,0.06287167148414675,0.004,-4160000.0,0.0,152.0,0.1667224346460958,0.2731627126005032
0.0002,0.06287167148414675,0.004,-3640000.0000000005,0.0,152.0,0.16829188782409402,0.39715990372300447
0.0002,0.06287167148414675,0.004,-3119999.999999999,0.0,152.0,0.20804966954533544,0.14691895330970078
0.0002,0.06287167148414675,0.004,-2599999.9999999995,0.0,152.0,0.18265332298729792,0.30063673278057007
0.0002,0.06287167148414675,0.004,-2080000.0,0.0,152.0,0.17197196638752288,0.22299169505486366
0.0002,0.06287167148414675,0.004,-1559999.9999999988,0.0,152.0,0.1690101314811151,0.2444479401839776
0.0002,0.06287167148414675,0.004,-1039999.9999999992,0.0,152.0,0.16495598430179098,0.014542633342581355
0.0002,0.06287167148414675,0.004,-519999.9999999996,0.0,152.0,0.12971069972505941,0.21952229469071255
0.0002,0.06287167148414675,0.004,0.0,0.0,152.0,0.19945747778894954,0.12863906511308937
0.0002,0.06287167148414675,0.004,519999.9999999996,0.0,152.0,0.15773509144672554,0.24653136994324784
0.0002,0.06287167148414675,0.004,1040000.0000000009,0.0,152.0,0.17535863893424383,0.25231322395417677
0.0002,0.06287167148414675,0.004,1560000.0000000005,0.0,152.0,0.1595808243973887,0.25374546847104
0.0002,0.06287167148414675,0.004,2080000.0,0.0,152.0,0.18101272451503544,0.23984573664192574
0.0002,0.06287167148414675,0.004,2600000.0000000014,0.0,152.0,0.19471164408456343,0.23478752908881478
0.0002,0.06287167148414675,0.004,3120000.000000001,0.0,152.0,0.15488484653335885,0.24646621319541295
0.0002,0.06287167148414675,0.004,3640000.0000000005,0.0,152.0,0.28584421910142116,0.21040996125277842
0.0002,0.06287167148414675,0.004,4160000.0,0.0,152.0,0.26169807062798617,0.21883159304445235
0.0002,0.06287167148414675,0.004,4680000.0,0.0,152.0,0.06280557903903851,0.27726207052876894
0.0002,0.06287167148414675,0.004,5199999.999999999,0.0,152.0,0.12031110508184881,0.26033964037867446
0.0002,0.06287167148414675,0.004,5719999.999999999,0.0,152.0,0.03783927498300295,0.28436773193956977
