SPA1 power,SPA2 power,SPA1 bg fraction,SPA2 bg fraction,RC bg intensity,SPA1 detuning,SPA2 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.00003,0.01,0.001,0.0,0.0,-66666.66666666666,0.0,152.0,0.03461586830913618,1.390650320963032e-6
0.0002,0.00003,0.01,0.001,0.0,0.0,0.0,0.0,152.0,0.03460538484669263,1.4250231947717616e-6
0.0002,0.00003,0.01,0.001,0.0,0.0,66666.66666666666,0.0,152.0,0.03463166403597288,2.4003079707158517e-6
0.0002,0.00003,0.01,0.001,0.0,0.0,133333.3333333333,0.0,152.0,0.03461577951910215,1.3230111426244296e-6
0.0002,0.00003,0.01,0.001,0.0,0.0,199999.99999999994,0.0,152.0,0.03464916080919238,8.415713637317607e-6
0.0002,0.00003,0.01,0.001,0.0,0.0,266666.6666666666,0.0,152.0,0.03471126239474085,0.000048123010537388995
0.0002,0.00003,0.01,0.001,0.0,0.0,333333.33333333326,0.0,152.0,0.034771907854715844,0.0000382610589518518
0.0002,0.00003,0.01,0.001,0.0,0.0,399999.9999999999,0.0,152.0,0.034382015767282614,0.0003750647581321479
0.0002,0.00003,0.01,0.001,0.0,0.0,466666.66666666657,0.0,152.0,0.034199322344547874,0.00035309668926030135
0.0002,0.00003,0.01,0.001,0.0,0.0,533333.3333333333,0.0,152.0,0.034187752944381374,0.0007680488978143247
0.0002,0.00003,0.01,0.001,0.0,0.0,600000.0000000001,0.0,152.0,0.034413523936507776,0.006068363326686144
0.0002,0.00003,0.01,0.001,0.0,0.0,666666.6666666667,0.0,152.0,0.034287440629380474,0.0005326742764567624
0.0002,0.00003,0.01,0.001,0.0,0.0,733333.3333333334,0.0,152.0,0.03435303857948264,0.00031800043904691973
0.0002,0.00003,0.01,0.001,0.0,0.0,800000.0,0.0,152.0,0.03438423291290385,0.0003392201213632301
0.0002,0.00003,0.01,0.001,0.0,0.0,866666.6666666667,0.0,152.0,0.03438317303135059,0.041109762005252376
0.0002,0.00003,0.01,0.001,0.0,0.0,933333.3333333334,0.0,152.0,0.0344242474204181,0.04521923042646383
0.0002,0.00003,0.01,0.001,0.0,0.0,1000000.0,0.0,152.0,0.0344533216785441,0.0431917629686592
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-1000000.0,0.0,152.0,0.03394385657511415,0.0005291235291923797
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-933333.3333333334,0.0,152.0,0.034844933540404466,0.000491298500104172
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-866666.6666666667,0.0,152.0,0.03475376477314487,0.0004333051347885328
