SPA1 power,SPA2 power,SPA1 bg fraction,SPA2 bg fraction,RC bg intensity,SPA1 detuning,SPA2 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-1516666.6666666665,0.0,184.0,0.025617036847438122,0.0021138843542897476
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-1400000.0,0.0,184.0,0.02619236312572754,0.0018374937319997914
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-1283333.3333333333,0.0,184.0,0.027253470353822674,0.0007882528597202922
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-1166666.6666666665,0.0,184.0,0.026011425707903386,0.002162862341038571
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-1050000.0,0.0,184.0,0.014064409912475711,0.013250895846748434
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-933333.3333333334,0.0,184.0,0.028499174493081512,0.0003669564582435463
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-816666.6666666666,0.0,184.0,0.028644279972774182,0.4757153635012958
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-700000.0,0.0,184.0,0.028717382475386563,0.4400068769208147
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-583333.3333333333,0.0,184.0,0.028798077454945517,0.569376651558784
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-466666.66666666657,0.0,184.0,0.02876751549133841,0.6747993613346661
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-350000.0000000001,0.0,184.0,0.028745436850397457,0.745411217699141
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-233333.3333333334,0.0,184.0,0.028739155873862356,0.7718867791347485
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-116666.6666666667,0.0,184.0,0.02873614456927443,0.784913497411542
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,0.0,0.0,184.0,0.028748027354290093,0.7833233615089218
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,116666.6666666667,0.0,184.0,0.028735782917190134,0.7831603736910449
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,233333.3333333334,0.0,184.0,0.02888075573768865,0.42742735577728314
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,350000.0000000001,0.0,184.0,0.028630399238605674,0.02858636278188917
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,466666.6666666668,0.0,184.0,0.029102744890570895,0.05232302961245958
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,583333.3333333335,0.0,184.0,0.02858722040943549,0.23299017746512712
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,700000.0000000002,0.0,184.0,0.028963615973188864,0.0003273729623078264
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,816666.6666666669,0.0,184.0,0.02882569745606051,0.00021052131651232324
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,933333.3333333336,0.0,184.0,0.028739815545858423,0.00023936460365530862
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,1049999.9999999998,0.0,184.0,0.02867904039225249,0.00008503525773503315
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,1166666.6666666665,0.0,184.0,0.028629992961098714,0.00003207184942439041
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,1283333.3333333333,0.0,184.0,0.028586118890418448,0.00010089458246309466
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,1400000.0,0.0,184.0,0.0285547168880376,0.00007573074799630409
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,1516666.6666666665,0.0,184.0,0.02852655028911604,0.0001437050043577825
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,1633333.3333333333,0.0,184.0,0.028501069525263587,0.00004118277886294736
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,1750000.0,0.0,184.0,0.028479965869655077,0.00015765361753922202
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-1750000.0,0.0,184.0,0.02745244953319924,0.00044059199506999005
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-1633333.3333333333,0.0,184.0,0.02490711820233369,0.0023018849020798814
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-1516666.6666666665,0.0,184.0,0.02561642555730864,0.001875188816544869
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-1400000.0,0.0,184.0,0.026193884882104678,0.001623458098875386
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-1283333.3333333333,0.0,184.0,0.027251869689561125,0.0007045615307739898
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-1166666.6666666665,0.0,184.0,0.02601425101344424,0.0019135824665422099
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-1050000.0,0.0,184.0,0.014060528867450755,0.011824025937094041
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-933333.3333333334,0.0,184.0,0.02849915555506879,0.00036236890515272367
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-816666.6666666666,0.0,184.0,0.028644293704495942,0.42444361716988444
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-700000.0,0.0,184.0,0.028717394448407693,0.39222620399679947
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-583333.3333333333,0.0,184.0,0.028798098245483215,0.506955501034656
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-466666.66666666657,0.0,184.0,0.02876745929072866,0.6009792379102815
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-350000.0000000001,0.0,184.0,0.028745378718678116,0.6642211921662755
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-233333.3333333334,0.0,184.0,0.028739054958198423,0.6867283507015511
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,-116666.6666666667,0.0,184.0,0.02873630120501152,0.698392124931911
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,0.0,0.0,184.0,0.028748124184745632,0.6964248616877275
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,116666.6666666667,0.0,184.0,0.02873592849172619,0.6962412708877391
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,233333.3333333334,0.0,184.0,0.028881484113575658,0.38118791860920964
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,350000.0000000001,0.0,184.0,0.028630328577705096,0.025508412859818815
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,466666.6666666668,0.0,184.0,0.029102591634946492,0.046856838323770016
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,583333.3333333335,0.0,184.0,0.02859074624713789,0.20461240093076738
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,700000.0000000002,0.0,184.0,0.0289635867215451,0.00039778346714173363
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,816666.6666666669,0.0,184.0,0.028825688449757345,0.00016165057244740084
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,933333.3333333336,0.0,184.0,0.028739821003017224,0.0002293515454266199
0.0002,0.00003,0.01,0.01,3.981071705534969e-6,0.0,1049999.9999999998,0.0,184.0,0.028679045540455344,0.00006605148116132114
