SPA1 power,SPA1 bg fraction,RC bg intensity,SPA1 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.01,1e-6,0.0,9966666.666666668,184.0,0.028394742564360493,0.8976106895473582
0.0002,0.01,1e-6,0.0,10400000.000000002,184.0,0.028394737255716514,0.8976106913579012
0.0002,0.01,1e-6,0.0,10833333.333333336,184.0,0.028394740549071536,0.8976106906479359
0.0002,0.01,1e-6,0.0,11266666.666666666,184.0,0.02839473676929404,0.8976106916272184
0.0002,0.01,1e-6,0.0,11700000.0,184.0,0.028394733627571774,0.8976106877349238
0.0002,0.01,1e-6,0.0,12133333.333333332,184.0,0.028394740165793304,0.8976106441568356
0.0002,0.01,1e-6,0.0,12566666.666666666,184.0,0.028394739636287605,0.8976106506896493
0.0002,0.01,1e-6,0.0,13000000.0,184.0,0.028394739320289953,0.897610610688821
0.0002,0.01,1.3182567385564074e-6,0.0,-13000000.0,184.0,0.028394215448823028,0.8976139309756518
0.0002,0.01,1.3182567385564074e-6,0.0,-12566666.666666666,184.0,0.02839421529923255,0.8976139306236298
0.0002,0.01,1.3182567385564074e-6,0.0,-12133333.333333332,184.0,0.02839421500958561,0.897613930083278
0.0002,0.01,1.3182567385564074e-6,0.0,-11700000.0,184.0,0.028394214564500746,0.8976139302647627
0.0002,0.01,1.3182567385564074e-6,0.0,-11266666.666666666,184.0,0.028394214405073625,0.8976139298154748
0.0002,0.01,1.3182567385564074e-6,0.0,-10833333.333333332,184.0,0.028394214156951026,0.8976139291209374
0.0002,0.01,1.3182567385564074e-6,0.0,-10400000.0,184.0,0.02839421380685078,0.8976139287300174
0.0002,0.01,1.3182567385564074e-6,0.0,-9966666.666666666,184.0,0.028394212698259817,0.8976139280079903
0.0002,0.01,1.3182567385564074e-6,0.0,-9533333.333333334,184.0,0.028394212119487325,0.8976139275360592
0.0002,0.01,1.3182567385564074e-6,0.0,-9100000.0,184.0,0.02839420788345276,0.8976139249395318
0.0002,0.01,1.3182567385564074e-6,0.0,-8666666.666666666,184.0,0.028394211324268337,0.8976139251228675
0.0002,0.01,1.3182567385564074e-6,0.0,-8233333.333333334,184.0,0.02839421144395132,0.8976139191654187
0.0002,0.01,1.3182567385564074e-6,0.0,-7800000.0,184.0,0.028394211815893078,0.8976138931045191
0.0002,0.01,1.3182567385564074e-6,0.0,-7366666.666666666,184.0,0.028394211559475212,0.8976138812870971
0.0002,0.01,1.3182567385564074e-6,0.0,-6933333.333333334,184.0,0.028394211718605223,0.8976138216394277
0.0002,0.01,1.3182567385564074e-6,0.0,-6500000.0,184.0,0.02839421153681386,0.8976139184952874
0.0002,0.01,1.3182567385564074e-6,0.0,-6066666.666666666,184.0,0.028394211349303432,0.8976139165342651
0.0002,0.01,1.3182567385564074e-6,0.0,-5633333.333333333,184.0,0.028394211555159896,0.8976139119850554
0.0002,0.01,1.3182567385564074e-6,0.0,-5199999.999999999,184.0,0.028394145940641685,0.8976136208259151
0.0002,0.01,1.3182567385564074e-6,0.0,-4766666.666666666,184.0,0.028394043320620743,0.8976134729683245
0.0002,0.01,1.3182567385564074e-6,0.0,-4333333.333333332,184.0,0.02839332956294214,0.8976133461644002
0.0002,0.01,1.3182567385564074e-6,0.0,-3900000.0000000005,184.0,0.02838949161417276,0.8976130835870302
0.0002,0.01,1.3182567385564074e-6,0.0,-3466666.666666667,184.0,0.028386350349937403,0.8976130572828735
0.0002,0.01,1.3182567385564074e-6,0.0,-3033333.333333333,184.0,0.028377904148577226,0.8976127937155207
0.0002,0.01,1.3182567385564074e-6,0.0,-2599999.9999999995,184.0,0.02838796819546289,0.8976129917278522
0.0002,0.01,1.3182567385564074e-6,0.0,-2166666.666666666,184.0,0.028376181992283683,0.8976121034710003
0.0002,0.01,1.3182567385564074e-6,0.0,-1733333.3333333326,184.0,0.02838029095825164,0.897540515562284
0.0002,0.01,1.3182567385564074e-6,0.0,-1299999.9999999988,184.0,0.028394280437303902,0.895402996966942
0.0002,0.01,1.3182567385564074e-6,0.0,-866666.6666666671,184.0,0.028394151120234034,0.8972257000701579
