SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,1e-6,0.020800000000000003,0.0,600000.0000000001,184.0,0.02842516677786365,0.7247485968096761,0.15361166380574198
0.0002,0.01,1e-6,0.020800000000000003,0.0,800000.0000000002,184.0,0.02838659528976416,0.8973409135796203,0.0003908759416310482
0.0002,0.01,1e-6,0.020800000000000003,0.0,1000000.0,184.0,0.028380190213770792,0.8972807184086771,0.0002460310889190021
0.0002,0.01,1e-6,0.020800000000000003,0.0,1200000.0000000002,184.0,0.02837890297633511,0.8974381350702982,0.00022371359237159565
0.0002,0.01,1e-6,0.020800000000000003,0.0,1400000.0000000005,184.0,0.028378108297390445,0.8973693662952873,0.0001873831230800133
0.0002,0.01,1e-6,0.020800000000000003,0.0,1600000.0,184.0,0.028379684592891242,0.8974249939565299,0.00021804367754745915
0.0002,0.01,1e-6,0.020800000000000003,0.0,1800000.0000000002,184.0,0.028379946054209786,0.8974981500123919,0.00022890389333342161
0.0002,0.01,1e-6,0.020800000000000003,0.0,2000000.0,184.0,0.02838034113533395,0.8974725477878082,0.00020876256428860958
0.0002,0.01,1e-6,0.030700000000000005,0.0,-2000000.0,184.0,0.028328084904331616,0.8977288109104024,0.00001719820550319963
0.0002,0.01,1e-6,0.030700000000000005,0.0,-1800000.0,184.0,0.028145170482751523,0.8977262681126603,0.00019980677416130726
0.0002,0.01,1e-6,0.030700000000000005,0.0,-1600000.0,184.0,0.028216873483559408,0.8977217470416023,0.00011717123374534714
0.0002,0.01,1e-6,0.030700000000000005,0.0,-1400000.0,184.0,0.02814480112505867,0.8977361845869686,0.000217886426414414
0.0002,0.01,1e-6,0.030700000000000005,0.0,-1200000.0,184.0,0.028270257595621066,0.8960139021105397,0.0000899532294389747
0.0002,0.01,1e-6,0.030700000000000005,0.0,-1000000.0,184.0,0.0282747244580761,0.8927871288397162,0.00010396914898916457
0.0002,0.01,1e-6,0.030700000000000005,0.0,-799999.9999999998,184.0,0.028375716309067045,0.8643565450985582,0.020052580157744134
0.0002,0.01,1e-6,0.030700000000000005,0.0,-599999.9999999999,184.0,0.028386184153320705,0.82743371679639,0.047941735302167866
0.0002,0.01,1e-6,0.030700000000000005,0.0,-399999.9999999999,184.0,0.028407438760136145,0.7453510699165867,0.10734194486541583
0.0002,0.01,1e-6,0.030700000000000005,0.0,-199999.99999999994,184.0,0.028424315796018538,0.6852223087005127,0.15472095045833884
0.0002,0.01,1e-6,0.030700000000000005,0.0,0.0,184.0,0.028452431786828707,0.5953282037416372,0.2922030360045113
0.0002,0.01,1e-6,0.030700000000000005,0.0,200000.00000000017,184.0,0.0284595922210557,0.6063106907170325,0.2856403402224732
0.0002,0.01,1e-6,0.030700000000000005,0.0,400000.00000000035,184.0,0.028390320153574056,0.8906078005101294,0.006432906841521925
0.0002,0.01,1e-6,0.030700000000000005,0.0,600000.0000000001,184.0,0.028445312028925477,0.6968534852222695,0.1789529294547185
0.0002,0.01,1e-6,0.030700000000000005,0.0,800000.0000000002,184.0,0.028383647218928828,0.897396533919074,0.0003792024102954667
0.0002,0.01,1e-6,0.030700000000000005,0.0,1000000.0,184.0,0.028376410449468394,0.8972964823174566,0.0002277251360731906
0.0002,0.01,1e-6,0.030700000000000005,0.0,1200000.0000000002,184.0,0.02837487880523946,0.8974692165929348,0.00020630789475859578
0.0002,0.01,1e-6,0.030700000000000005,0.0,1400000.0000000005,184.0,0.028374087101448234,0.8973984661503264,0.00017555873781991723
0.0002,0.01,1e-6,0.030700000000000005,0.0,1600000.0,184.0,0.028375678838450998,0.8974453553916094,0.00021196532126034842
0.0002,0.01,1e-6,0.030700000000000005,0.0,1800000.0000000002,184.0,0.02837593705426293,0.8975204437172656,0.00024238258743550649
0.0002,0.01,1e-6,0.030700000000000005,0.0,2000000.0,184.0,0.028376348143000014,0.8975039832354101,0.00019828661884274695
0.0002,0.01,1e-6,0.040600000000000004,0.0,-2000000.0,184.0,0.028312823227977416,0.8977496278153123,0.000020412525245806352
0.0002,0.01,1e-6,0.040600000000000004,0.0,-1800000.0,184.0,0.028070358456979375,0.8977467033866035,0.0002622254742067135
0.0002,0.01,1e-6,0.040600000000000004,0.0,-1600000.0,184.0,0.028179040425952494,0.8977403779604789,0.00014048039449504986
0.0002,0.01,1e-6,0.040600000000000004,0.0,-1400000.0,184.0,0.028085973967034415,0.8977589976400248,0.0002694226315310036
