SPA1 power,SPA2 power,SPA1 bg fraction,SPA2 bg fraction,RC bg intensity,SPA1 detuning,SPA2 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.00003,0.01,0.001,0.0,0.0,100000.00000000009,0.0,184.0,0.028805361779053493,0.8949414315333382
0.0002,0.00003,0.01,0.001,0.0,0.0,200000.00000000017,0.0,184.0,0.028811376328455766,0.8945009874668166
0.0002,0.00003,0.01,0.001,0.0,0.0,300000.00000000006,0.0,184.0,0.028902672727471653,0.8082756670612712
0.0002,0.00003,0.01,0.001,0.0,0.0,400000.0000000001,0.0,184.0,0.029215055470108813,0.003033160626074446
0.0002,0.00003,0.01,0.001,0.0,0.0,500000.0,0.0,184.0,0.029049071105089252,0.003267827435714362
0.0002,0.00003,0.01,0.001,0.0,0.0,600000.0000000001,0.0,184.0,0.02870948002406294,0.19017609543024255
0.0002,0.00003,0.01,0.001,0.0,0.0,700000.0000000002,0.0,184.0,0.02883498812550941,0.0002602152339778424
0.0002,0.00003,0.01,0.001,0.0,0.0,800000.0000000002,0.0,184.0,0.02876010031733489,0.0006670035428392261
0.0002,0.00003,0.01,0.001,0.0,0.0,900000.0000000003,0.0,184.0,0.028705181548635352,0.0004570188302318637
0.0002,0.00003,0.01,0.001,0.0,0.0,1000000.0,0.0,184.0,0.028663175095807358,0.0004741006788832547
0.0002,0.00003,0.01,0.001,0.0,0.0,1100000.0,0.0,184.0,0.028631879950466368,0.00014020568984967122
0.0002,0.00003,0.01,0.001,0.0,0.0,1200000.0000000002,0.0,184.0,0.02859746021270839,0.00015567300629760463
0.0002,0.00003,0.01,0.001,0.0,0.0,1300000.0000000002,0.0,184.0,0.02857540359114107,0.00013950490265382605
0.0002,0.00003,0.01,0.001,0.0,0.0,1400000.0000000005,0.0,184.0,0.02855073562383303,0.00004190702217520305
0.0002,0.00003,0.01,0.001,0.0,0.0,1500000.0,0.0,184.0,0.028528441111808415,0.00019999473892858192
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-1500000.0,0.0,184.0,0.02742139033401569,0.0003882698741869588
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-1400000.0,0.0,184.0,0.02761417273470471,0.000744409307946273
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-1300000.0,0.0,184.0,0.027895060005007327,0.00046971910774054544
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-1200000.0,0.0,184.0,0.02713386842162956,0.0012945390770878968
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-1100000.0,0.0,184.0,0.025003710363588318,0.003568651702183498
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-1000000.0,0.0,184.0,0.027309555028576196,0.0011880345596501835
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-899999.9999999999,0.0,184.0,0.028552670523196478,0.0063139947666123125
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-799999.9999999999,0.0,184.0,0.028616895300289373,0.21828075509838973
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-700000.0,0.0,184.0,0.02870975039719867,0.42993986961597735
