stage,detuning_hz,intensity_prefactor,singlet,triplet_m,triplet_0,triplet_p
AP1,-4600000.0,0.5623413251903491,3.4284066444370274e-7,1.3696758345804816e-6,4.5389562359664605e-7,1.3692070815395815e-6
AP1,-4600000.0,1.1006941712522103,5.657836289605716e-8,2.3789780005941888e-6,3.7012713866509116e-7,2.3790567516980358e-6
AP1,-4600000.0,2.1544346900318843,2.3866080866784653e-7,3.6728265669488347e-6,3.510172780431058e-7,3.6741955768796623e-6
AP1,-4600000.0,4.216965034285822,1.0806265663573589e-6,4.549939610095016e-6,6.087774466431682e-7,4.553009742291307e-6
AP1,-4600000.0,8.25404185268019,2.964789906479228e-6,3.643663018792984e-6,1.8249160970942696e-6,3.646529722152776e-6
AP1,-4600000.0,16.155980984398745,3.7224242845466472e-6,1.8083234658088976e-6,5.158688214997706e-6,1.8052275511772636e-6
AP1,-4600000.0,31.622776601683793,9.631882238961514e-6,1.6098107820480322e-6,7.465223988706779e-6,1.607603950396883e-6
AP1,-4250000.0,0.01,6.468847069493794e-7,1.7570614204527305e-6,8.092892108892777e-8,1.757056099850539e-6
AP1,-4250000.0,0.019573417814876606,1.6506033647665056e-6,1.727576033529019e-6,2.1910627314362536e-7,1.7275541057509788e-6
AP1,-4250000.0,0.03831186849557289,4.033164650031316e-6,2.2623687615369666e-6,1.0894844994462016e-6,2.262370773381592e-6
AP1,-4250000.0,0.07498942093324558,9.194276571601584e-6,4.3797006808153e-6,3.778798620679537e-6,4.379838762009368e-6
AP1,-4250000.0,0.14677992676220697,0.000019656505047520043,0.000010566004054865332,0.000010705380921307897,0.000010566560619403233
AP1,-4250000.0,0.28729848333536656,0.00003956000539177362,0.000026468695696406893,0.000026911247967822996,0.000026470322919558463
AP1,-4250000.0,0.5623413251903491,0.00007503758530711628,0.0000634096520316849,0.0000618037601171595,0.00006341378133877758
AP1,-4250000.0,1.1006941712522103,0.0001355973960488448,0.00014011867622483904,0.00013042790949724866,0.0001401281926741516
AP1,-4250000.0,2.1544346900318843,0.00024225278291459222,0.00028311320998137044,0.0002555722462409578,0.0002831334479785265
AP1,-4250000.0,4.216965034285822,0.00044895644816769466,0.0005427638310391596,0.00048393177089701316,0.0005428043513324673
AP1,-4250000.0,8.25404185268019,0.0009090863089639575,0.0010221500086639815,0.000886207262880703,0.001022228573341698
AP1,-4250000.0,16.155980984398745,0.00195105841974261,0.001438679308813332,0.0013074334725593569,0.0014387875542479654
AP1,-4250000.0,31.622776601683793,0.003369276955827435,0.0027866314465394373,0.0026114202074139182,0.002786698373007442
AP1,-3900000.0,0.01,0.00008562305245700059,0.0000648776534208414,0.00007307320218974792,0.00006487460043677524
AP1,-3900000.0,0.019573417814876606,0.00015369868442358515,0.00012669006158756038,0.00013098368322530285,0.00012668399210534996
AP1,-3900000.0,0.03831186849557289,0.00028113657466575045,0.0002477908408799914,0.00024025522635575777,0.00024777884827487887
AP1,-3900000.0,0.07498942093324558,0.0005207645853641616,0.00048393826530942417,0.00044856510338979754,0.00048391474421839443
AP1,-3900000.0,0.14677992676220697,0.000972310028117815,0.0009415225596374501,0.0008496066251305388,0.0009414766760627302
AP1,-3900000.0,0.28729848333536656,0.0018251083449208883,0.0018210265694466022,0.0016296813633139187,0.0018209373518046237
AP1,-3900000.0,0.5623413251903491,0.003445848598088734,0.0034979459951775733,0.0031614123812787947,0.003497773169098703
AP1,-3900000.0,1.1006941712522103,0.006565045986299355,0.006685009385573887,0.006178952883796089,0.0066846746874371634
AP1,-3900000.0,2.1544346900318843,0.012645438939491369,0.012772216781256432,0.012064992041337569,0.01277156701688699
AP1,-3900000.0,4.216965034285822,0.024528915037801656,0.02444064134852866,0.023273053131004015,0.02443937709326267
AP1,-3900000.0,8.25404185268019,0.0475597862024029,0.045934967904525295,0.043623235021954365,0.04593258928927946
AP1,-3900000.0,16.155980984398745,0.08614221767734322,0.08243591475821323,0.07931976669930553,0.08243250628617554
AP1,-3900000.0,31.622776601683793,0.15276977714678078,0.14036435295748403,0.1319464359154303,0.1403656242806709
AP1,-3550000.0,0.01,0.000461563043758827,0.0004454875194322893,0.0003644155248769413,0.0004454937873246444
AP1,-3550000.0,0.019573417814876606,0.0008761114297910234,0.0008555234312651976,0.0007286496681351227,0.0008555360313344545
AP1,-3550000.0,0.03831186849557289,0.0016743049097406443,0.0016494603835747763,0.0014499902986986183,0.0016494856209156924
AP1,-3550000.0,0.07498942093324558,0.003213476649740958,0.00318663023353514,0.0028753703479537968,0.003186680561212552
AP1,-3550000.0,0.14677992676220697,0.006181953206320035,0.006158403098507481,0.005685508615746004,0.006158503026607022
AP1,-3550000.0,0.28729848333536656,0.011902246850245924,0.01188727514824766,0.011204337076720996,0.011887472052712884
AP1,-3550000.0,0.5623413251903491,0.022905068867076446,0.0228841724581199,0.021958294171229124,0.022884553773344963
AP1,-3550000.0,1.1006941712522103,0.043968807256574906,0.043848174625612205,0.04260394817671761,0.043848885089165374
AP1,-3550000.0,2.1544346900318843,0.08375027962418609,0.08322543268291208,0.08123866255912923,0.08322662208314782
AP1,-3550000.0,4.216965034285822,0.15652053079141345,0.15457646474376222,0.15046713927420063,0.1545777447410068
AP1,-3550000.0,8.25404185268019,0.2788673149926114,0.27144167467723096,0.26422892120773983,0.27143935955674947
AP1,-3550000.0,16.155980984398745,0.4531822681581152,0.4357936334382483,0.4229600622847891,0.4357821660604127
AP1,-3550000.0,31.622776601683793,0.6343716600177536,0.5937098503312654,0.5682481994936158,0.5937257881793163
AP1,-3200000.0,0.01,0.0015409113776248475,0.0015289590328122114,0.0014037108934152856,0.0015289661307447164
AP1,-3200000.0,0.019573417814876606,0.0030100063421800325,0.002989600717027443,0.0027904887016150714,0.0029896146155485174
AP1,-3200000.0,0.03831186849557289,0.005875727121152407,0.0058401730901442295,0.005522025137111247,0.005840199833471648
AP1,-3200000.0,0.07498942093324558,0.011452380463216384,0.011389109667536769,0.010883934727224053,0.011389160522874343
AP1,-3200000.0,0.14677992676220697,0.022255434599507608,0.02213973911344301,0.021355603977685572,0.022139835432791608
AP1,-3200000.0,0.28729848333536656,0.04300702524272746,0.04278696493593845,0.041616666222418615,0.042787149959784464
